@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data
274000,1600,1994,85,1,1,1,0
171000,4999,2004,85,1,1,1,0
190000,13299,2010,105,0,1,1,0
290000,2699,2001,100,0,1,1,0
202351,3500,2002,110,0,1,1,0
220000,4800,2004,90,1,1,1,0
205000,4200,2001,100,0,0,1,0
181600,5950,2004,85,0,1,1,0
200000,6000,2005,85,0,1,1,0
170000,4688,1997,210,0,1,1,0
37,1450,1994,141,0,1,1,1
250000,3300,1997,105,0,1,1,0
162300,3300,2002,110,0,1,1,0
243000,2999,2000,77,1,1,1,0
330000,500,1988,73,0,1,1,0
74000,26000,2008,210,0,1,1,1
85000,29900,2004,245,0,1,0,1
248740,4300,2002,85,0,1,1,0
190000,3500,2001,141,1,0,1,0
172296,4200,2003,85,0,1,1,0
215000,4100,2002,110,0,1,1,1
63000,7200,2004,120,0,1,1,1
260000,5490,2002,120,0,1,1,0
130000,10750,2005,110,0,1,1,0
198000,5400,2002,110,0,1,1,0
240000,5150,2003,100,0,1,1,0
300000,3500,1987,165,1,1,1,0
220000,12600,2007,110,0,1,1,0
194000,18900,2010,120,0,1,1,0
200000,1500,1991,141,0,1,1,0
287000,4500,2002,110,0,1,1,0
120000,10000,2006,160,1,1,1,1
250000,1850,1999,120,1,1,1,0
300000,1600,1988,138,0,1,1,0
127000,14500,2009,177,1,1,0,1
380000,10000,2006,170,0,1,1,1
251100,4450,2002,110,0,1,1,0
156000,9200,2006,110,1,1,1,0
190000,3798,2000,100,0,1,1,0
135000,8000,2003,160,1,1,1,1
241000,3650,2003,85,1,1,0,0
11000,103990,2014,190,0,1,1,1
180000,18000,2012,135,0,1,1,0
190,2100,1980,66,0,1,0,0
244000,950,1992,110,1,0,1,0
215000,12150,2007,120,1,1,1,0
170000,3800,2000,100,1,1,1,0
144000,9999,2007,120,0,1,1,0
218000,1300,1991,110,0,0,1,0
175420,4350,2002,87,0,1,0,0
215000,1000,1990,100,0,1,0,0
145000,24900,2011,135,0,1,1,1
209455,3750,2002,110,0,1,1,0
160000,7490,2008,105,0,1,0,0
150252,5350,2003,110,0,1,1,0
212000,10000,2008,130,0,1,1,0
187005,3200,2001,77,0,1,1,0
182200,14000,2009,120,0,1,1,0
131339,19900,2006,190,0,0,0,0
171280,4899,2003,110,0,1,1,0
159,29999,2010,180,0,1,1,1
8000,22490,2015,80,0,1,1,0
200570,19950,2011,136,0,1,1,0
182000,3699,2003,110,1,1,1,0
172344,10950,2010,105,0,1,1,0
236403,8900,2007,90,1,1,1,0
172000,27000,2011,135,0,0,1,1
250000,3600,2002,110,0,1,1,0
180000,35000,1996,240,0,1,1,1
57000,11500,2004,125,0,1,0,0
208649,4800,2002,120,0,1,1,0
162457,4300,2004,85,0,1,1,0
145000,15500,2007,145,1,1,1,1
60695,25999,2006,373,0,1,0,1
122308,42900,2010,210,0,1,1,1
148434,34900,2010,180,0,1,1,1
189302,9500,2004,160,0,1,1,1
280000,3430,2002,141,0,1,1,1
180400,6300,2005,110,0,0,1,0
225000,3900,2001,100,1,1,1,1
276969,4000,2000,100,1,0,1,0
210000,2950,1998,142,0,1,1,0
277000,1550,1991,85,0,1,1,0
